date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zipcode,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed?,complaint_id
9/24/2013,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,Wells Fargo & Company,AK,99623,,,Web,9/25/2013,Closed with explanation,Yes,No,540368
9/17/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,FirstMerit Bank,OH,43016,,,Web,9/18/2013,Closed with explanation,Yes,No,530634
9/10/2013,Mortgage,Other mortgage,Settlement process and costs,,,,American Pacific Mortgage Corporation,OR,97479,,,Web,9/10/2013,Closed with explanation,Yes,No,521371
9/10/2013,Debt collection,Non-federal student loan,Cont'd attempts collect debt not owed,Debt is not mine,,,"Expert Global Solutions, Inc.",AZ,85297,,,Web,9/14/2013,Closed with explanation,Yes,No,521372
9/10/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,U.S. Bancorp,MO,63138,,,Web,9/10/2013,Closed with explanation,Yes,No,521374
8/30/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Fidelity National Information Services, Inc. (FNIS)",CA,90305,Older American,,Phone,9/3/2013,Closed with explanation,Yes,No,511066
8/30/2013,Debt collection,I do not know,Taking/threatening an illegal action,Threatened to sue on too old debt,,,Wells Fargo & Company,CA,94530,,,Web,8/30/2013,Closed with explanation,Yes,No,511115
9/24/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,"Afni, Inc.",FL,33334,,,Web,9/24/2013,Closed with explanation,Yes,No,540371
9/24/2013,Credit card,,Identity theft / Fraud / Embezzlement,,,,Capital One,CA,91605,,,Web,9/24/2013,Closed with non-monetary relief,Yes,No,540372
9/17/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"OneMain Financial Holdings, LLC",AL,36874,,,Referral,10/8/2013,Closed with explanation,Yes,No,530639
9/17/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"SunTrust Banks, Inc.",CA,94509,,,Postal mail,9/18/2013,Closed with explanation,Yes,No,530642
9/17/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,AZ,85733,,,Web,9/17/2013,Closed with explanation,Yes,No,531850
8/30/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,Security Finance,LA,70503,,,Web,8/30/2013,Closed with explanation,Yes,No,511120
9/24/2013,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,,Experian,NC,27597,,,Web,9/24/2013,Closed with explanation,Yes,Yes,540383
9/17/2013,Credit card,,Customer service / Customer relations,,,,U.S. Bancorp,OH,45387,,,Web,9/17/2013,Closed with explanation,Yes,No,531857
9/10/2013,Credit card,,Forbearance / Workout plans,,,,Capital One,OH,43065,,,Web,9/14/2013,Closed with monetary relief,Yes,No,521375
9/10/2013,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,,,"Asset Recovery Group, Inc.",OR,97222,Older American,,Web,9/10/2013,Closed with explanation,Yes,No,521376
9/10/2013,Credit card,,Closing/Cancelling account,,,,Wells Fargo & Company,MN,55949,,,Web,9/10/2013,Closed with explanation,Yes,No,521378
9/10/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,"Convergent Resources, Inc.",CA,94102,,,Web,9/14/2013,Closed with explanation,Yes,No,521379
9/24/2013,Debt collection,Non-federal student loan,Communication tactics,Frequent or repeated calls,,,Allied Interstate LLC,SC,29928,Older American,,Postal mail,9/25/2013,Closed with non-monetary relief,Yes,No,541189
9/24/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,IL,60628,,,Web,9/24/2013,Closed with non-monetary relief,Yes,No,540390
9/24/2013,Debt collection,Non-federal student loan,Communication tactics,Frequent or repeated calls,,,"Navient Solutions, Inc.",SC,29928,Older American,,Postal mail,9/25/2013,Closed with explanation,Yes,No,541190
9/10/2013,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Equifax,VA,22195,,,Web,9/14/2013,Closed with explanation,Yes,No,521381
9/10/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,ERC,CA,94102,,,Web,9/14/2013,Closed with non-monetary relief,Yes,No,521380
9/10/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,MN,55024,,,Web,9/10/2013,Closed with explanation,Yes,No,521383
9/10/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Experian,NC,28205,Servicemember,,Web,9/10/2013,Closed with explanation,Yes,No,521318
8/30/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,Wells Fargo & Company,OK,74063,,,Phone,9/3/2013,Closed with explanation,Yes,No,511133
8/30/2013,Mortgage,Other mortgage,Credit decision / Underwriting,,,,New York Community Bank,MD,20912,,,Postal mail,9/5/2013,Closed with explanation,Yes,No,511136
9/10/2013,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,Commercial Recovery Systems,AZ,85037,,,Web,9/14/2013,Closed,Yes,No,521384
9/10/2013,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Equifax,WA,98512,,,Web,9/11/2013,Closed with non-monetary relief,Yes,No,520885
9/10/2013,Credit card,,Billing disputes,,,,Citibank,FL,32259,,,Web,9/14/2013,Closed with explanation,Yes,No,520825
9/10/2013,Credit card,,Rewards,,,,JPMorgan Chase & Co.,PA,19406,,,Web,9/14/2013,Closed with explanation,Yes,No,521385
9/17/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,GA,30701,,,Web,9/18/2013,Closed with explanation,Yes,No,530654
8/30/2013,Mortgage,FHA mortgage,Settlement process and costs,,,,Prospect Mortgage,CA,92656,Older American,,Web,9/4/2013,Closed with explanation,Yes,Yes,511140
9/24/2013,Debt collection,Credit card,Communication tactics,Threatened to take legal action,,,Capital One,CA,91773,,,Web,9/26/2013,Closed with explanation,Yes,No,540399
9/10/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Experian,NJ,8742,,,Web,9/14/2013,Closed with non-monetary relief,Yes,No,521386
